typhoon,actual,predicted
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,1
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,1,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,1
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,1
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,1,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,1
bopha2012,0,0
bopha2012,0,0
bopha2012,0,1
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,1,0
bopha2012,0,0
bopha2012,0,1
bopha2012,0,0
bopha2012,0,0
bopha2012,0,1
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,1
bopha2012,0,0
bopha2012,1,0
bopha2012,0,1
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,1,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,1,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,1
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,1
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,1,0
bopha2012,0,0
bopha2012,1,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,1
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,1,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,1,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,1
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,1
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,1
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,1
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,1
bopha2012,0,0
bopha2012,1,0
bopha2012,1,1
bopha2012,0,0
bopha2012,1,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,1,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,1
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,1
bopha2012,0,1
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
bopha2012,0,0
