id,pcode,Manucipality,typhoon,Year,Totally,Partially,total
717,PH023113000,Gamu,Nesat,2011,1,,1
718,PH023114000,ILAGAN CITY (Capital),Nesat,2011,57,129,186
719,PH023115000,Jones,Nesat,2011,84,420,504
720,PH023124000,Ramon,Nesat,2011,32,159,191
721,PH023125000,Reina Mercedes,Nesat,2011,2,27,29
722,PH023127000,San Agustin,Nesat,2011,,1750,1750
723,PH023128000,San Guillermo,Nesat,2011,52,190,242
724,PH023129000,San Isidro,Nesat,2011,22,165,187
725,PH023131000,San Mariano,Nesat,2011,1,10,11
726,PH023132000,San Mateo,Nesat,2011,46,,46
727,PH023135000,CITY OF SANTIAGO,Nesat,2011,464,4989,5453
728,PH023134000,SANTA MARIA,Nesat,2011,5,,5
729,PH025015000,ALFONSO CASTANEDA,Nesat,2011,,89,89
730,PH025001000,Ambaguio,Nesat,2011,9,21,30
731,PH025002000,Aritao,Nesat,2011,,,0
732,PH025003000,Bagabag,Nesat,2011,31,87,118
733,PH025004000,Bambang,Nesat,2011,2,,2
734,PH025005000,BAYOMBONG (Capital),Nesat,2011,47,333,380
735,PH025006000,Diadi,Nesat,2011,22,31,53
736,PH025007000,Dupax del Norte,Nesat,2011,1,18,19
737,PH025008000,Dupax del Sur,Nesat,2011,3,35,38
738,PH025009000,Kasibu,Nesat,2011,10,22,32
739,PH025011000,Quezon,Nesat,2011,17,55,72
740,PH025013000,Solano,Nesat,2011,10,262,272
741,PH025012000,SANTA FE,Nesat,2011,1,5,6
742,PH025701000,Aglipay,Nesat,2011,760,2040,2800
743,PH025702000,CABARROGUIS (Capital),Nesat,2011,106,895,1001
744,PH025703000,Diffun,Nesat,2011,464,2444,2908
745,PH025704000,Maddela,Nesat,2011,181,1731,1912
746,PH025706000,Nagtipunan,Nesat,2011,45,271,316
747,PH025705000,Saguday,Nesat,2011,118,1111,1229
748,PH037701000,BALER (Capital),Nesat,2011,5,18,23
749,PH037702000,Casiguran,Nesat,2011,161,2726,2887
750,PH037703000,Dilasag,Nesat,2011,85,1172,1257
751,PH037704000,Dinalungan,Nesat,2011,236,472,708
752,PH037705000,Dingalan,Nesat,2011,8,,8
753,PH037706000,Dipaculao,Nesat,2011,19,958,977
754,PH037707000,Maria Aurora,Nesat,2011,21,336,357
755,PH037708000,San Luis,Nesat,2011,10,61,71
756,PH034903000,Cabanatuan City,Nesat,2011,205,454,659
757,PH034907000,GABALDON (BITULOK & SABANI),Nesat,2011,9,5,14
758,PH034910000,GENERAL TINIO (PAPAYA),Nesat,2011,8,427,435
759,PH034909000,GENERAL MAMERTO NATIVIDAD,Nesat,2011,26,230,256
760,PH034914000,Licab,Nesat,2011,,43,43
761,PH034919000,PALAYAN CITY (Capital),Nesat,2011,23,49,72
762,PH034923000,Rizal,Nesat,2011,,15,15
763,PH034926000,San Jose City,Nesat,2011,8,9,17
764,PH034928000,SANTA ROSA,Nesat,2011,62,448,510
765,PH034929000,SANTO DOMINGO,Nesat,2011,2,8,10
766,PH034930000,Talavera,Nesat,2011,18,81,99
767,PH037101000,Botolan,Nesat,2011,4,61,65
768,PH037102000,Cabangan,Nesat,2011,130,335,465
769,PH037103000,Candelaria,Nesat,2011,137,528,665
770,PH037104000,Castillejos,Nesat,2011,1,102,103
771,PH037105000,IBA (Capital),Nesat,2011,73,220,293
772,PH037106000,Masinloc,Nesat,2011,81,811,892
773,PH037107000,Olongapo City,Nesat,2011,2,,2
774,PH037108000,Palauig,Nesat,2011,86,343,429
775,PH037109000,San Antonio,Nesat,2011,61,564,625
776,PH037110000,San Felipe,Nesat,2011,14,36,50
777,PH037111000,San Marcelino,Nesat,2011,19,25,44
778,PH037112000,San Narciso,Nesat,2011,31,259,290
779,PH037113000,SANTA CRUZ,Nesat,2011,169,1340,1509
780,PH037114000,Subic,Nesat,2011,436,749,1185
781,PH030801000,Abucay,Nesat,2011,10,774,784
782,PH030803000,CITY OF BALANGA (Capital),Nesat,2011,18,122,140
783,PH030804000,Dinalupihan,Nesat,2011,102,273,375
784,PH030805000,Hermosa,Nesat,2011,16,110,126
785,PH030806000,Limay,Nesat,2011,67,621,688
786,PH030810000,Orion,Nesat,2011,205,454,659
787,PH030812000,Samal,Nesat,2011,2,,2
788,PH031401000,Angat,Nesat,2011,53,9,62
789,PH031402000,BALAGTAS (BIGAA),Nesat,2011,10,34,44
790,PH031403000,Baliuag,Nesat,2011,3,141,144
791,PH031404000,Bocaue,Nesat,2011,33,52,85
792,PH031405000,Bulacan,Nesat,2011,7,136,143
793,PH031406000,Bustos,Nesat,2011,100,446,546
794,PH031424000,DOÑA REMEDIOS TRINIDAD,Nesat,2011,86,218,304
795,PH031408000,GUIGUINTO,Nesat,2011,,75,75
796,PH031409000,Hagonoy,Nesat,2011,,64,64
797,PH031410000,CITY OF MALOLOS (Capital),Nesat,2011,4,35,39
798,PH031412000,CITY OF MEYCAUAYAN,Nesat,2011,55,5,60
799,PH031414000,Obando,Nesat,2011,45,,45
800,PH031416000,Paombong,Nesat,2011,124,527,651
801,PH031417000,Plaridel,Nesat,2011,1,20,21
802,PH031418000,Pulilan,Nesat,2011,28,186,214
803,PH031419000,SAN ILDEFONSO,Nesat,2011,2,19,21
804,PH031420000,CITY OF SAN JOSE DEL MONTE,Nesat,2011,19,1,20
805,PH031421000,San Miguel,Nesat,2011,209,224,433
806,PH031422000,San Rafael,Nesat,2011,,92,92
807,PH031423000,SANTA MARIA,Nesat,2011,98,145,243
808,PH036903000,CAMILING,Nesat,2011,23,58,81
809,PH036911000,Pura,Nesat,2011,,1,1
810,PH036913000,SAN CLEMENTE,Nesat,2011,3,12,15
811,PH035401000,Angeles City,Nesat,2011,1,,1
812,PH035402000,Apalit,Nesat,2011,3,4,7
813,PH035406000,Floridablanca,Nesat,2011,64,317,381
814,PH035408000,Lubao,Nesat,2011,,3,3
815,PH035410000,Macabebe,Nesat,2011,4,63,67
816,PH035411000,Magalang,Nesat,2011,4,317,321
817,PH035409000,MABALACAT CITY,Nesat,2011,9,44,53
818,PH035412000,Masantol,Nesat,2011,,59,59
819,PH035413000,Mexico,Nesat,2011,,6,6
820,PH035415000,Porac,Nesat,2011,,1,1
821,PH035422000,SASMUAN (Sexmoan),Nesat,2011,,28,28
822,PH035416000,CITY OF SAN FERNANDO (Capital),Nesat,2011,2,,2
823,PH035417000,San Luis,Nesat,2011,,154,154
824,PH035418000,San Simon,Nesat,2011,,58,58
825,PH035420000,SANTA RITA,Nesat,2011,1,39,40
826,PH041001000,Agoncillo,Nesat,2011,2,7,9
827,PH041007000,Calaca,Nesat,2011,2,2,4
828,PH041009000,Cuenca,Nesat,2011,,2,2
829,PH041013000,Lian,Nesat,2011,1,61,62
830,PH041019000,Nasugbu,Nesat,2011,,7,7
831,PH041020000,Padre Garcia,Nesat,2011,,1,1
832,PH041027000,SANTA TERESITA,Nesat,2011,3,,3
833,PH041029000,Taal,Nesat,2011,1,1,2
834,PH042105000,Cavite City,Nesat,2011,56,3,59
835,PH042123000,GEN. MARIANO ALVAREZ,Nesat,2011,6,8,14
836,PH042113000,Maragondon,Nesat,2011,13,270,283
837,PH042119000,Tagaytay City,Nesat,2011,5,,5
838,PH043402000,Bay,Nesat,2011,,3,3
839,PH045801000,Angono,Nesat,2011,,2,2
840,PH045813000,Taytay,Nesat,2011,2,10,12
841,PH175904000,Calatrava,Nesat,2011,1,,1
842,PH175911000,San Agustin,Nesat,2011,,5,5
843,PH175101000,Abra de Ilog,Nesat,2011,2,1,3
844,PH175104000,Lubang,Nesat,2011,1,,1
845,PH050501000,Bacacay,Nesat,2011,0,8,8
846,PH051711000,Caramoan,Nesat,2011,12,42,54
847,PH056212000,Matnog,Nesat,2011,1,10,11
848,PH056214000,Prieto Diaz,Nesat,2011,1,5,6
849,PH051735000,Siruma,Nesat,2011,5,786,791
850,PH184521000,Pontevedra,Nesat,2011,1,4,5
851,PH184513000,Ilog,Nesat,2011,1,,1
852,PH063030000,MIAGAO,Nesat,2011,5,43,48
853,PH063022000,ILOILO CITY (Capital),Nesat,2011,7,21,28
854,PH060601000,Anini-y,Nesat,2011,1,,1
855,PH143201000,Balbalan,Nesat,2011,5,59,64
856,PH143206000,Lubuagan,Nesat,2011,1,89,90
857,PH143209000,Pinukpuk,Nesat,2011,,2,2
858,PH143208000,Pasil,Nesat,2011,1,55,56
859,PH143214000,Tanudan,Nesat,2011,,7,7
860,PH143215000,Tinglayan,Nesat,2011,1,110,111
861,PH141104000,Bokod,Nesat,2011,1,1,2
862,PH141105000,Buguias,Nesat,2011,5,,5
863,PH141106000,Itogon,Nesat,2011,3,2,5
864,PH141107000,Kabayan,Nesat,2011,2,2,4
865,PH141108000,Kapangan,Nesat,2011,,1,1
866,PH141109000,Kibungan,Nesat,2011,1,16,17
867,PH141112000,Sablan,Nesat,2011,1,3,4
868,PH141113000,Tuba,Nesat,2011,,11,11
869,PH141114000,Tublay,Nesat,2011,1,,1
870,PH140103000,Bucay,Nesat,2011,1,,1
871,PH140108000,La Paz,Nesat,2011,,1,1
872,PH140109000,Lacub,Nesat,2011,,24,24
873,PH140120000,Sallapadan,Nesat,2011,1,,1
874,PH140122000,San Juan,Nesat,2011,,9,9
875,PH140125000,Tineg,Nesat,2011,,1,1
876,PH144404000,BONTOC (Capital),Nesat,2011,,1,1
877,PH144405000,Natonin,Nesat,2011,3,108,111
878,PH144406000,Paracelis,Nesat,2011,,1,1
879,PH144410000,Tadian,Nesat,2011,,1,1
880,PH142707000,ALFONSO LISTA (POTIA),Nesat,2011,9,29,38
881,PH142711000,Asipulo,Nesat,2011,17,153,170
882,PH142701000,Banaue,Nesat,2011,26,448,474
883,PH142709000,Hingyon,Nesat,2011,6,77,83
884,PH142702000,Hungduan,Nesat,2011,1,15,16
885,PH142703000,Kiangan,Nesat,2011,15,84,99
886,PH142704000,LAGAWE (Capital),Nesat,2011,5,59,64
887,PH142705000,Lamut,Nesat,2011,11,292,303
888,PH148103000,Flora,Nesat,2011,,5,5
889,PH148104000,KABUGAO (Capital),Nesat,2011,,5,5
890,PH013306000,BANGAR,Bopha,2012,1,1,2
891,PH071201000,ALBURQUERQUE,Bopha,2012,1,4,5
892,PH071209000,BUENAVISTA,Bopha,2012,10,59,69
893,PH071220000,DIMIAO,Bopha,2012,1,1,2
894,PH071221000,DUERO,Bopha,2012,1,2,3
895,PH071226000,GETAFE,Bopha,2012,10,1,11
896,PH071228000,LOAY,Bopha,2012,1,15,16
897,PH071230000,LOON,Bopha,2012,1,2,3
898,PH071243000,TALIBON,Bopha,2012,1,2,3
899,PH072202000,ALCOY,Bopha,2012,17,22,39
900,PH072203000,ALEGRIA,Bopha,2012,44,99,143
901,PH072205000,ARGAO,Bopha,2012,1,4,5
902,PH072207000,BADIAN,Bopha,2012,14,16,30
903,PH072212000,BOLJOON,Bopha,2012,21,78,99
904,PH072222000,DALAGUETE,Bopha,2012,35,460,495
905,PH072225000,GINATILAN,Bopha,2012,56,175,231
906,PH072229000,MALABUYOC,Bopha,2012,23,170,193
907,PH072235000,OSLOB,Bopha,2012,54,268,322
908,PH072240000,SAMBOAN,Bopha,2012,92,344,436
909,PH072241000,SAN FERNANDO,Bopha,2012,1,1,2
910,PH072245000,SANTANDER,Bopha,2012,65,513,578
911,PH072246000,SIBONGA,Bopha,2012,1,39,40
912,PH076101000,ENRIQUE VILLANUEVA,Bopha,2012,2,314,316
913,PH076102000,LARENA,Bopha,2012,38,322,360
914,PH076103000,LAZI,Bopha,2012,100,687,787
915,PH076104000,MARIA,Bopha,2012,66,875,941
916,PH076105000,SAN JUAN,Bopha,2012,46,427,473
917,PH076106000,SIQUIJOR (Capital),Bopha,2012,51,748,799
918,PH101301000,BAUNGON,Bopha,2012,46,801,847
919,PH101303000,DANGCAGAN,Bopha,2012,1,3,4
920,PH101305000,IMPASUG-ONG,Bopha,2012,121,557,678
921,PH101310000,LANTAPAN,Bopha,2012,3,15,18
922,PH101311000,LIBONA,Bopha,2012,23,191,214
923,PH101313000,MALITBOG,Bopha,2012,257,1558,1815
924,PH101314000,MANOLO FORTICH,Bopha,2012,30,135,165
925,PH101318000,SAN FERNANDO,Bopha,2012,140,215,355
926,PH101319000,SUMILAO,Bopha,2012,26,158,184
927,PH101320000,TALAKAG,Bopha,2012,12,40,52
928,PH101321000,CITY OF VALENCIA,Bopha,2012,301,1100,1401
929,PH101322000,CABANGLASAN,Bopha,2012,54,37,91
930,PH101801000,CATARMAN,Bopha,2012,5,64,69
931,PH101802000,GUINSILIBAN,Bopha,2012,1,14,15
932,PH101803000,MAHINOG,Bopha,2012,1,5,6
933,PH101804000,MAMBAJAO (Capital),Bopha,2012,3,4,7
934,PH101805000,SAGAY,Bopha,2012,12,79,91
935,PH103501000,BACOLOD,Bopha,2012,9,87,96
936,PH103504000,ILIGAN CITY,Bopha,2012,82,1285,1367
937,PH103505000,KAPATAGAN,Bopha,2012,3,15,18
938,PH103507000,KAUSWAGAN,Bopha,2012,1,2,3
939,PH103508000,KOLAMBUGAN,Bopha,2012,1,11,12
940,PH103509000,LALA,Bopha,2012,7,11,18
941,PH103516000,PANTAO RAGAT,Bopha,2012,37,214,251
942,PH103518000,SALVADOR,Bopha,2012,3,6,9
943,PH103519000,SAPAD,Bopha,2012,27,67,94
944,PH103520000,TAGOLOAN,Bopha,2012,1,50,51
945,PH103522000,TUBOD (Capital),Bopha,2012,1,20,21
946,PH104201000,ALORAN,Bopha,2012,6,1,7
947,PH104202000,BALIANGAO,Bopha,2012,6,1,7
948,PH104205000,CLARIN,Bopha,2012,34,11,45
949,PH104207000,JIMENEZ,Bopha,2012,1,3,4
950,PH104208000,LOPEZ JAENA,Bopha,2012,1,3,4
951,PH104209000,OROQUIETA CITY (Capital),Bopha,2012,12,12,24
952,PH104210000,OZAMIS CITY,Bopha,2012,23,78,101
953,PH104211000,PANAON,Bopha,2012,1,1,2
954,PH104216000,TUDELA,Bopha,2012,10,20,30
955,PH104301000,ALUBIJID,Bopha,2012,5,43,48
956,PH104303000,BALINGOAN,Bopha,2012,1,6,7
957,PH104304000,BINUANGAN,Bopha,2012,11,71,82
958,PH104305000,CAGAYAN DE ORO CITY (Capital),Bopha,2012,29,114,143
959,PH104306000,CLAVERIA,Bopha,2012,1,70,71
960,PH104307000,CITY OF EL SALVADOR,Bopha,2012,7,20,27
961,PH104308000,GINGOOG CITY,Bopha,2012,239,2168,2407
962,PH104309000,GITAGUM,Bopha,2012,8,4,12
963,PH104312000,KINOGUITAN,Bopha,2012,4,14,18
964,PH104314000,LAGUINDINGAN,Bopha,2012,1,33,34
965,PH104315000,LIBERTAD,Bopha,2012,3,55,58
966,PH104316000,LUGAIT,Bopha,2012,15,60,75
967,PH104317000,MAGSAYSAY (LINUGOS),Bopha,2012,56,370,426
968,PH104318000,MANTICAO,Bopha,2012,1,20,21
969,PH104321000,OPOL,Bopha,2012,2,200,202
970,PH104322000,SALAY,Bopha,2012,66,291,357
971,PH104323000,SUGBONGCOGON,Bopha,2012,4,100,104
972,PH104324000,TAGOLOAN,Bopha,2012,3,119,122
973,PH104325000,TALISAYAN,Bopha,2012,3,287,290
974,PH104326000,VILLANUEVA,Bopha,2012,1,33,34
975,PH112301000,ASUNCION (SAUG),Bopha,2012,1,790,791
976,PH112303000,CARMEN,Bopha,2012,15,5,20
977,PH112305000,KAPALONG,Bopha,2012,1,1069,1070
978,PH112314000,NEW CORELLA,Bopha,2012,87,754,841
979,PH112324000,SAN ISIDRO,Bopha,2012,125,244,369
980,PH112501000,BAGANGA,Bopha,2012,6900,1,6901
981,PH112503000,BOSTON,Bopha,2012,2980,1418,4398
982,PH112504000,CARAGA,Bopha,2012,2017,3591,5608
983,PH112505000,CATEEL,Bopha,2012,9729,271,10000
984,PH112508000,MANAY,Bopha,2012,80,1500,1580
985,PH112509000,CITY OF MATI (Capital),Bopha,2012,77,136,213
986,PH112511000,TARRAGONA,Bopha,2012,192,1354,1546
987,PH118201000,COMPOSTELA,Bopha,2012,9059,9649,18708
988,PH118202000,LAAK (SAN VICENTE),Bopha,2012,5815,8711,14526
989,PH118203000,MABINI (DOÃ¯Â¿Â½Ã¯Â¿Â½A ALICIA),Bopha,2012,57,1527,1584
990,PH118204000,MACO,Bopha,2012,274,1589,1863
991,PH118205000,MARAGUSAN (SAN MARIANO),Bopha,2012,147,1000,1147
992,PH118206000,MAWAB,Bopha,2012,710,3299,4009
993,PH118207000,MONKAYO,Bopha,2012,6777,13355,20132
994,PH118208000,MONTEVISTA,Bopha,2012,5423,5495,10918
995,PH118209000,NABUNTURAN (Capital),Bopha,2012,2633,6416,9049
996,PH118210000,NEW BATAAN,Bopha,2012,7702,4824,12526
997,PH118211000,PANTUKAN,Bopha,2012,56,536,592
998,PH126317000,TUPI,Bopha,2012,3,3,6
999,PH126318000,SANTO NIÃ¯Â¿Â½Ã¯Â¿Â½O,Bopha,2012,1,7,8
1000,PH153601000,BACOLOD-KALAWI (BACOLOD GRANDE),Bopha,2012,7,2,9
1001,PH153603000,BALINDONG (WATU),Bopha,2012,5,16,21
1002,PH153606000,BUBONG,Bopha,2012,15,31,46
1003,PH153610000,KAPAI,Bopha,2012,7,18,25
1004,PH153611000,LUMBA-BAYABAO (MAGUING),Bopha,2012,1,2,3
1005,PH153615000,MALABANG,Bopha,2012,147,47,194
1006,PH153622000,POONA BAYABAO (GATA),Bopha,2012,3,14,17
1007,PH153623000,PUALAS,Bopha,2012,1,2,3
1008,PH153624000,DITSAAN-RAMAIN,Bopha,2012,5,25,30
1009,PH153626000,TAMPARAN,Bopha,2012,1,8,9
1010,PH153627000,TARAKA,Bopha,2012,4,13,17
1011,PH153631000,MAROGONG,Bopha,2012,30,1,31
1012,PH153632000,CALANOGAS,Bopha,2012,1,9,10
1013,PH153633000,BUADIPOSO-BUNTONG,Bopha,2012,10,15,25
1014,PH153635000,PICONG (SULTAN GUMANDER),Bopha,2012,16,142,158
1015,PH153639000,KAPATAGAN,Bopha,2012,6,24,30
1016,PH160201000,BUENAVISTA,Bopha,2012,1,43,44
1017,PH160202000,BUTUAN CITY (Capital),Bopha,2012,12,254,266
1018,PH160204000,CARMEN,Bopha,2012,21,127,148
1019,PH160206000,KITCHARAO,Bopha,2012,3,10,13
1020,PH160207000,LAS NIEVES,Bopha,2012,2,58,60
1021,PH160211000,TUBAY,Bopha,2012,2,1,3
1022,PH160302000,BUNAWAN,Bopha,2012,1770,1643,3413
1023,PH160303000,ESPERANZA,Bopha,2012,3,9,12
1024,PH160304000,LA PAZ,Bopha,2012,559,2395,2954
1025,PH160305000,LORETO,Bopha,2012,5014,3269,8283
1026,PH160306000,PROSPERIDAD (Capital),Bopha,2012,6,631,637
1027,PH160307000,ROSARIO,Bopha,2012,193,1796,1989
1028,PH160308000,SAN FRANCISCO,Bopha,2012,4,208,212
1029,PH160309000,SAN LUIS,Bopha,2012,9,1,10
1030,PH160310000,SANTA JOSEFA,Bopha,2012,1697,2411,4108
1031,PH160311000,TALACOGON,Bopha,2012,248,173,421
1032,PH160312000,TRENTO,Bopha,2012,5606,2331,7937
1033,PH160313000,VERUELA,Bopha,2012,3245,4371,7616
1034,PH160313000,VERUELA,Bopha,2012,220,1,221
1035,PH160314000,SIBAGAT,Bopha,2012,1,53,54
1036,PH166702000,BACUAG,Bopha,2012,1,2,3
1037,PH166706000,CLAVER,Bopha,2012,1,33,34
1038,PH166707000,DAPA,Bopha,2012,6,6,12
1039,PH166714000,MAINIT,Bopha,2012,1,1,2
1040,PH166716000,PILAR,Bopha,2012,1,547,548
1041,PH166717000,PLACER,Bopha,2012,10,21,31
1042,PH166720000,SAN ISIDRO,Bopha,2012,1,280,281
1043,PH166721000,SANTA MONICA (SAPAO),Bopha,2012,1,51,52
1044,PH166724000,SURIGAO CITY (Capital),Bopha,2012,1,3,4
1045,PH166801000,BAROBO,Bopha,2012,42,29,71
1046,PH166802000,BAYABAS,Bopha,2012,3,200,203
1047,PH166803000,CITY OF BISLIG,Bopha,2012,575,9105,9680
1048,PH166804000,CAGWAIT,Bopha,2012,17,1,18
1049,PH166806000,CARMEN,Bopha,2012,1,1,2
1050,PH166808000,CORTES,Bopha,2012,16,1164,1180
1051,PH166809000,HINATUAN,Bopha,2012,223,2800,3023
1052,PH166810000,LANUZA,Bopha,2012,1,10,11
1053,PH166811000,LIANGA,Bopha,2012,25,21,46
1054,PH166812000,LINGIG,Bopha,2012,3652,3694,7346
1055,PH166814000,MARIHATAG,Bopha,2012,25,65,90
1056,PH166815000,SAN AGUSTIN,Bopha,2012,5,56,61
1057,PH166817000,TAGBINA,Bopha,2012,1350,616,1966
1058,PH166819000,CITY OF TANDAG (Capital),Bopha,2012,3,15,18
1059,PH168502000,CAGDIANAO,Bopha,2012,1,1,2
1060,PH168503000,DINAGAT,Bopha,2012,1,5,6
1061,PH175303000,ARACELI,Bopha,2012,12,202,214
1062,PH175308000,CAGAYANCILLO,Bopha,2012,12,188,200
1063,PH175311000,DUMARAN,Bopha,2012,3,1,4
1064,PH175320000,TAYTAY,Bopha,2012,848,34,882
1065,PH012904000,burgos,Trami,2013,2,,2
1066,PH012928000,sto domingo,Trami,2013,1,,1
1067,PH012927000,santiago,Trami,2013,,,0
1068,PH015533000,san fabian,Trami,2013,4,,4
1069,PH015546000,CITY OF URDANETA,Trami,2013,,,0
1070,PH015527000,Mangatarem,Trami,2013,1,,1
1071,PH031416000,paombong,Trami,2013,,,0
1072,PH031414000,obando,Trami,2013,1,,1
1073,PH031410000,CITY OF MALOLOS (Capital),Trami,2013,,,0
1074,PH031420000,CITY OF SAN JOSE DEL MONTE,Trami,2013,3,,3
1075,PH030812000,SAMAL,Trami,2013,6,,6
1076,PH030802000,bagac,Trami,2013,,,0
1077,PH030806000,limay,Trami,2013,3,,3
1078,PH030808000,morong,Trami,2013,,,0
1079,PH036903000,camiling,Trami,2013,1,,1
1080,PH035406000,FLORIDABLANCA,Trami,2013,23,,23
1081,PH035416000,CITY OF SAN FERNANDO (Capital),Trami,2013,3,,3
1082,PH035401000,ANGELES CITY,Trami,2013,153,,153
1083,PH035411000,magalang,Trami,2013,2,,2
1084,PH037104000,castillejos,Trami,2013,,,0
1085,PH041008000,calatagan,Trami,2013,1,,1
1086,PH041019000,NASUGBU,Trami,2013,4,,4
1087,PH041007000,CALACA,Trami,2013,,,0
1088,PH041013000,lian,Trami,2013,,,0
1089,PH042108000,CITY OF GENERAL TRIAS,Trami,2013,179,,179
1090,PH042122000,TRECE MARTIRES CITY (Capital),Trami,2013,5,,5
1091,PH042104000,carmona,Trami,2013,3,,3
1092,PH042120000,Tanza,Trami,2013,91,,91
1093,PH042109000,Imus city,Trami,2013,124,,124
1094,PH045808000,RODRIGUEZ (MONTALBAN),Trami,2013,6,,6
1095,PH045801000,angono,Trami,2013,12,,12
1096,PH045805000,cainta,Trami,2013,,,0
1097,PH045802000,CITY OF ANTIPOLO,Trami,2013,16,,16
1098,PH045809000,morong,Trami,2013,,,0
1099,PH045807000,JALA-JALA,Trami,2013,,,0
1100,PH045810000,PILILLA,Trami,2013,7,,7
1101,PH045645000,sariaya,Trami,2013,1,,1
1102,PH148101000,CALANASAN (BAYAG),Usagi,2013,1,437,438
1103,PH012815000,Pagudpud,Usagi,2013,1,250,251
1104,PH012805000,city of Batac,Usagi,2013,1,4,5
1105,PH020901000,BASCO (Capital),Usagi,2013,151,,151
1106,PH020902000,Itbayat,Usagi,2013,10,,10
1107,PH020903000,Ivana,Usagi,2013,5,,5
1108,PH020904000,Mahatao,Usagi,2013,8,,8
1109,PH021505000,aparri,Usagi,2013,25,,25
1110,PH021509000,calayan,Usagi,2013,340,,340
1111,PH175101000,ABRA DE ILOG,Usagi,2013,14,,14
1112,PH175107000,paluan,Usagi,2013,4,,4
1113,PH052004000,caramoran,Usagi,2013,16,,16
1114,PH184502000,bago city,Usagi,2013,6,,6
1115,PH063034000,Oton,Usagi,2013,1,,1
1116,PH060613000,SAN JOSE (Capital),Usagi,2013,1,,1
1117,PH060602000,barbaza,Usagi,2013,2,,2
1118,PH015527000,Mangatarem,Nari,2013,1,29,30
1119,PH025001000,Ambaguio,Nari,2013,,1,1
1120,PH025015000,Alfonso Castaneda,Nari,2013,3,72,75
1121,PH037701000,baler (Capital),Nari,2013,12,57,69
1122,PH037705000,Dingalan,Nari,2013,8,196,204
1123,PH037706000,Dipaculao,Nari,2013,8,189,197
1124,PH037707000,Maria aurora,Nari,2013,11,163,174
1125,PH037707999,San Luis,Nari,2013,103,466,569
1126,PH031421000,San Miguel,Nari,2013,858,1670,2528
1127,PH031416000,Paombong,Nari,2013,,13,13
1128,PH031422000,San Rafael,Nari,2013,,2,2
1129,PH035405000,candaba,Nari,2013,3,438,441
1130,PH037112999,SANTA Cruz,Nari,2013,4,1,5
1131,PH037110000,San Felipe,Nari,2013,40,290,330
1132,PH034921999,Quezon,Nari,2013,10,1,11
1133,PH034922999,Rizal,Nari,2013,36,664,700
1134,PH034912000,Jaen,Nari,2013,2102,4634,6736
1135,PH034927000,San Leonardo,Nari,2013,1027,3498,4525
1136,PH034924999,San Isidro,Nari,2013,961,2600,3561
1137,PH034921000,PEÑARANDA,Nari,2013,132,1103,1235
1138,PH034904000,Cabiao,Nari,2013,15,156,171
1139,PH034932000,Zaragoza,Nari,2013,1864,6305,8169
1140,PH034909000,GENERAL MAMERTO NATIVIDAD,Nari,2013,208,164,372
1141,PH034928000,Santa Rosa,Nari,2013,637,2270,2907
1142,PH034924000,SAN ANTONIO,Nari,2013,98,636,734
1143,PH034908000,CITY OF GAPAN,Nari,2013,143,206,349
1144,PH034930000,Talavera,Nari,2013,89,1981,2070
1145,PH034919000,PALAYAN CITY (Capital),Nari,2013,229,1639,1868
1146,PH034902000,Bongabon,Nari,2013,37,647,684
1147,PH034926000,San Jose City,Nari,2013,16,436,452
1148,PH034903000,CABANATUAN CITY,Nari,2013,840,2029,2869
1149,PH036907000,La Paz,Nari,2013,552,5044,5596
1150,PH036908000,Mayantoc,Nari,2013,36,103,139
1151,PH036906000,Gerona,Nari,2013,94,330,424
1152,PH036915000,SANTA IGNACIA,Nari,2013,9,246,255
1153,PH036909000,Moncada,Nari,2013,6,,6
1154,PH036910000,Paniqui,Nari,2013,2,6,8
1155,PH036905000,Concepcion,Nari,2013,46,2188,2234
1156,PH036912000,Ramos,Nari,2013,,9,9
1157,PH036911000,Pura,Nari,2013,11,154,165
1158,PH036918000,San Jose,Nari,2013,58,310,368
1159,PH036902000,Bamban,Nari,2013,48,315,363
1160,PH036904000,Capas,Nari,2013,134,931,1065
1161,PH036916000,CITY OF TARLAC (Capital),Nari,2013,,357,357
1162,PH012809000,DINGRAS,Krosa,2013,2,50,52
1163,PH012804000,BANGUI,Krosa,2013,1,5,6
1164,PH012821000,Sarrat,Krosa,2013,1,21,22
1165,PH012815000,pagudpud,Krosa,2013,1,190,191
1166,PH012817000,PASUQUIN,Krosa,2013,,299,299
1167,PH012813000,Marcos,Krosa,2013,5,45,50
1168,PH012810000,DUMALNEG,Krosa,2013,1,8,9
1169,PH012806000,Burgos,Krosa,2013,,100,100
1170,PH012819000,PINILI,Krosa,2013,,15,15
1171,PH012811000,BANNA (ESPIRITU),Krosa,2013,3,2,5
1172,PH012802000,Bacarra,Krosa,2013,6,34,40
1173,PH012823000,Vintar,Krosa,2013,,4,4
1174,PH012803000,Badoc,Krosa,2013,,1,1
1175,PH012816000,Paoay,Krosa,2013,,31,31
1176,PH012808000,Currimao,Krosa,2013,,5,5
1177,PH012812000,LAOAG CITY (Capital),Krosa,2013,16,240,256
1178,PH021514000,Gonzaga,Krosa,2013,19,341,360
1179,PH021525000,SANTA TERESITA,Krosa,2013,23,98,121
1180,PH021505000,Aparri,Krosa,2013,1378,9093,10471
